Username,Display name,Status,Email,User ID
schen,Sarah Chen,Enabled,schen@company.com,a1b2c3d4-e5f6-7890-abcd-ef1234567890
mrivera,Marcus Rivera,Enabled,mrivera@company.com,b2c3d4e5-f6a7-8901-bcde-f12345678901
akim,Alex Kim,Enabled,akim@company.com,c3d4e5f6-a7b8-9012-cdef-123456789012
etorres,Emily Torres,Enabled,etorres@company.com,d4e5f6a7-b8c9-0123-defa-234567890123
dpark,David Park,Enabled,dpark@company.com,e5f6a7b8-c9d0-1234-efab-345678901234
lwang,Lisa Wang,Enabled,lwang@company.com,f6a7b8c9-d0e1-2345-fabc-456789012345
jmiller,James Miller,Enabled,jmiller@company.com,a7b8c9d0-e1f2-3456-abcd-567890123456
amorales,Ana Morales,Enabled,amorales@company.com,b8c9d0e1-f2a3-4567-bcde-678901234567
rcooper,Ryan Cooper,Enabled,rcooper@company.com,c9d0e1f2-a3b4-5678-cdef-789012345678
sreyes,Sofia Reyes,Enabled,sreyes@company.com,d0e1f2a3-b4c5-6789-defa-890123456789
twilson,Tom Wilson,Enabled,twilson@company.com,e1f2a3b4-c5d6-7890-efab-901234567890
klee,Karen Lee,Enabled,klee@company.com,f2a3b4c5-d6e7-8901-fabc-012345678901
mjohnson,Mike Johnson,Enabled,mjohnson@company.com,a3b4c5d6-e7f8-9012-abcd-123456789abc
radams,Rachel Adams,Enabled,radams@company.com,b4c5d6e7-f8a9-0123-bcde-234567890bcd
inactive1,Inactive User,Disabled,inactive@company.com,c5d6e7f8-a9b0-1234-cdef-345678901cde
